stem,bucket,orig_w,orig_h,clip_left_px,clip_top_px,clip_right_px,clip_bottom_px,max_clip_px,clip_frac,note,error
danbooru_anime_11915633,1472x704,6755,3378,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11916007,704x1472,750,1918,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11916078,704x1472,750,1918,0.0,1.6,0.0,0.0,1.6,0.0023,,
danbooru_anime_11916088,704x1472,750,1918,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11916107,704x1472,750,1918,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11916117,704x1472,750,1918,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11916661,704x1472,1876,3655,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11916971,704x1472,1051,2048,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11916988,704x1472,1936,5072,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11917129,704x1472,1227,2927,0.0,0.0,0.0,64.8,64.8,0.092,,
danbooru_anime_11917352,704x1472,2273,4825,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11917402,704x1472,1011,2149,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11918790,704x1472,1284,2778,0.0,0.0,0.0,3.7,3.7,0.0052,,
danbooru_anime_11918792,704x1472,1284,2778,0.0,0.0,0.0,20.1,20.1,0.0286,,
danbooru_anime_11918794,704x1472,1284,2778,0.0,1.4,0.0,22.3,22.3,0.0317,,
danbooru_anime_11918808,704x1472,720,1980,0.0,191.9,0.0,46.2,191.9,0.2726,,
danbooru_anime_11918842,704x1472,1380,2764,0.0,0.0,1.6,0.0,1.6,0.0022,,
danbooru_anime_11919277,1472x704,2038,960,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11919291,704x1472,675,1350,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11919368,704x1472,1401,3600,0.0,0.0,0.0,125.3,125.3,0.1779,,
danbooru_anime_11919387,704x1472,750,1545,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11919889,704x1472,1887,4093,0.0,0.0,0.0,16.1,16.1,0.0228,,
danbooru_anime_11919932,1472x704,1690,828,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11920038,704x1472,987,2048,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11920159,704x1472,2500,5000,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11920176,1472x704,3607,1500,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11920313,704x1472,1482,3265,0.0,0.0,0.0,23.8,23.8,0.0339,,
danbooru_anime_11920500,704x1472,1900,3800,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11920554,704x1472,1854,3828,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11920560,704x1472,967,2048,0.0,0.0,0.0,10.0,10.0,0.0142,,
danbooru_anime_11920731,704x1472,2160,4256,17.2,0.0,0.0,0.0,17.2,0.0244,,
danbooru_anime_11920944,704x1472,2480,5012,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11920993,704x1472,1500,3000,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11921003,704x1472,1014,2133,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11921008,704x1472,1014,2133,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11921082,704x1472,2089,4573,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11921273,704x1472,1970,4096,0.0,0.0,0.0,0.0,0.0,0.0,,
danbooru_anime_11921346,704x1472,1004,2048,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000003,704x1472,300,1134,0.0,9.7,0.0,294.7,294.7,0.4187,,
painting_humanart_10000000000012,704x1472,227,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000013,704x1472,210,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000019,704x1472,300,607,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000022,704x1472,300,1282,0.0,78.1,0.0,489.2,489.2,0.6948,,
painting_humanart_10000000000025,704x1472,220,1024,0.0,18.8,0.0,461.2,461.2,0.6551,,
painting_humanart_10000000000033,704x1472,300,614,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000038,704x1472,300,610,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000042,704x1472,300,600,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000048,704x1472,300,614,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000055,704x1472,300,844,0.0,0.0,0.0,3.5,3.5,0.005,,
painting_humanart_10000000000056,704x1472,300,615,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000058,704x1472,300,586,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000064,704x1472,300,776,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000067,704x1472,300,1223,0.0,0.0,0.0,438.5,438.5,0.6229,,
painting_humanart_10000000000071,704x1472,300,584,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000072,704x1472,300,595,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000073,704x1472,300,768,0.0,12.5,0.0,0.0,12.5,0.0177,,
painting_humanart_10000000000076,704x1472,170,450,0.0,0.0,0.0,38.2,38.2,0.0542,,
painting_humanart_10000000000087,704x1472,300,769,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000088,704x1472,300,844,0.0,0.0,0.0,10.5,10.5,0.015,,
painting_humanart_10000000000089,704x1472,300,846,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000091,704x1472,300,814,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000099,704x1472,167,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000104,704x1472,235,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000107,704x1472,300,601,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000109,704x1472,300,599,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000120,704x1472,300,681,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000125,704x1472,300,602,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000139,704x1472,300,614,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000148,704x1472,300,789,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000155,704x1472,300,844,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000173,704x1472,300,777,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000176,704x1472,300,1294,0.0,21.7,0.0,428.2,428.2,0.6083,,
painting_humanart_10000000000178,704x1472,300,601,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000181,704x1472,300,880,0.0,0.0,0.0,104.6,104.6,0.1486,,
painting_humanart_10000000000186,704x1472,224,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000189,704x1472,300,867,0.0,0.0,0.0,53.9,53.9,0.0766,,
painting_humanart_10000000000196,704x1472,300,589,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000200,704x1472,300,631,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000206,704x1472,300,605,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000208,704x1472,300,636,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000215,704x1472,300,615,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000227,704x1472,216,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000234,704x1472,300,612,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000242,704x1472,222,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000248,704x1472,300,583,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000253,704x1472,300,749,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000258,704x1472,226,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000266,704x1472,300,702,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000269,704x1472,300,797,0.0,0.0,0.0,51.5,51.5,0.0731,,
painting_humanart_10000000000282,704x1472,300,1348,0.0,0.0,0.0,585.8,585.8,0.8321,,
painting_humanart_10000000000283,704x1472,300,675,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000284,704x1472,300,592,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000290,704x1472,167,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000291,704x1472,300,1169,0.0,74.1,0.0,448.5,448.5,0.6371,,
painting_humanart_10000000000292,704x1472,300,625,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000300,704x1472,300,617,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000301,704x1472,300,611,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000302,704x1472,167,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000308,704x1472,300,698,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000309,704x1472,300,1139,0.0,0.0,0.0,305.2,305.2,0.4335,,
painting_humanart_10000000000314,704x1472,300,620,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000320,704x1472,300,826,0.0,0.0,0.0,50.3,50.3,0.0715,,
painting_humanart_10000000000324,704x1472,300,615,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000325,704x1472,300,635,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000329,704x1472,300,587,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000332,704x1472,300,584,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000335,704x1472,300,644,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000338,704x1472,300,584,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000348,704x1472,114,450,0.0,171.3,0.0,363.7,363.7,0.5166,,
painting_humanart_10000000000353,704x1472,300,582,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000358,704x1472,300,637,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000363,704x1472,300,594,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000364,704x1472,300,780,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000366,704x1472,235,504,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000370,704x1472,208,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000378,704x1472,300,610,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000392,1472x704,584,300,0.0,0.0,0.0,13.6,13.6,0.0193,,
painting_humanart_10000000000408,1472x704,592,300,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000467,704x1472,300,609,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000470,704x1472,300,598,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000471,704x1472,300,1166,0.0,94.6,0.0,397.5,397.5,0.5647,,
painting_humanart_10000000000472,704x1472,300,611,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000473,704x1472,300,611,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000474,704x1472,300,619,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000475,704x1472,300,618,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000476,704x1472,300,584,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000477,704x1472,214,440,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000478,704x1472,300,595,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000479,704x1472,300,591,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000480,1472x704,591,300,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000481,704x1472,300,633,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000483,704x1472,300,592,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000485,704x1472,222,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000486,704x1472,300,625,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000487,704x1472,300,604,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000488,704x1472,300,592,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000489,704x1472,300,622,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000490,704x1472,300,597,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000492,704x1472,215,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000493,704x1472,300,584,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000494,704x1472,300,594,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000495,704x1472,300,594,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000496,704x1472,300,613,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000497,704x1472,300,582,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000498,704x1472,300,616,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000499,704x1472,300,584,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000500,704x1472,300,585,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000502,704x1472,217,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000503,704x1472,300,618,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000505,704x1472,300,617,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000506,704x1472,300,603,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000507,704x1472,215,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000509,704x1472,215,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000511,704x1472,300,620,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000514,704x1472,220,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000516,704x1472,300,600,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000517,704x1472,300,586,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000518,704x1472,300,598,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000519,704x1472,300,591,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000520,704x1472,300,619,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000521,704x1472,300,588,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000522,704x1472,300,628,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000523,704x1472,220,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000526,704x1472,300,597,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000527,704x1472,300,590,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000530,704x1472,300,595,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000531,704x1472,300,592,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000533,704x1472,215,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000535,704x1472,300,599,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000536,704x1472,300,588,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000537,704x1472,215,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000544,704x1472,300,591,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000548,704x1472,300,593,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000550,704x1472,300,594,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000555,1472x704,648,300,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000560,704x1472,300,599,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000562,704x1472,300,649,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000563,704x1472,300,606,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000565,704x1472,300,607,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000568,704x1472,300,600,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000569,704x1472,300,607,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000573,704x1472,300,607,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000574,704x1472,300,581,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000576,704x1472,300,581,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000578,704x1472,221,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000582,704x1472,300,601,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000583,704x1472,300,598,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000584,704x1472,300,628,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000587,704x1472,300,593,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000589,704x1472,300,617,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000592,704x1472,300,617,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000593,704x1472,300,603,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000594,704x1472,300,612,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000595,704x1472,300,581,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000597,704x1472,300,615,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000598,704x1472,300,604,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000601,704x1472,300,591,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000602,704x1472,300,604,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000603,704x1472,300,622,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000607,704x1472,300,574,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000608,704x1472,215,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000609,704x1472,300,590,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000611,704x1472,300,656,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000613,704x1472,300,591,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000616,704x1472,300,599,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000619,704x1472,300,606,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000620,704x1472,300,608,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000622,704x1472,300,622,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000623,704x1472,300,606,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000624,704x1472,300,596,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000625,704x1472,300,624,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000628,704x1472,300,633,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000632,704x1472,213,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000633,704x1472,300,598,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000742,704x1472,300,611,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000755,704x1472,300,593,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000775,704x1472,300,590,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000776,704x1472,300,603,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000777,704x1472,300,575,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000778,704x1472,213,450,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000779,704x1472,300,598,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000780,704x1472,300,592,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000782,704x1472,300,625,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000783,704x1472,300,606,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000785,704x1472,300,610,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000788,704x1472,300,631,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000790,704x1472,300,600,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000791,704x1472,300,603,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000793,704x1472,300,648,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000794,704x1472,300,605,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000796,704x1472,300,606,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000797,704x1472,300,632,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000798,704x1472,300,622,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000800,704x1472,300,643,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000802,704x1472,300,609,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000803,704x1472,300,624,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000804,704x1472,300,616,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000807,704x1472,300,611,0.0,0.0,0.0,0.0,0.0,0.0,,
painting_humanart_10000000000809,704x1472,300,586,0.0,0.0,0.0,0.0,0.0,0.0,,
